id,exercicio,variacao,match
871,Remada,Remada T,media\exercicios\GIFS CALISTENIA\Remada com o Peso do Corpo na Porta.gif;media\exercicios\GIFS CROSSFIT\Remada com barra curvada para trás.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada com banda de resistência curvada para deltoides posterior.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada sentada com faixa.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada unilateral com gymstick.gif
872,Outros,Pullover Com Barra W Pegada,media\exercicios\GIFS ACADEMIA\COSTAS\Pullover com Barra W Pegada invertida.gif
878,Puxada,Puxada Na Polia Alta Com Pegada,media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos com Puxada de Pernas.gif;media\exercicios\GIFS ABDOMINAIS\Puxada de Pernas Sentado em Banco.gif;media\exercicios\GIFS CALISTENIA\Puxada escapular na barra fixa.gif;media\exercicios\GIFS CALISTENIA\Puxada Front Lever.gif;media\exercicios\GIFS CALISTENIA\Puxada isométrica.gif
880,Outros,Pullover Com Barra No Banco,media\exercicios\GIFS ACADEMIA\COSTAS\Pullover com barra no banco declinado.gif
881,Puxada,Puxada Alta Unilateral Alta,media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos com Puxada de Pernas.gif;media\exercicios\GIFS ABDOMINAIS\Puxada de Pernas Sentado em Banco.gif;media\exercicios\GIFS CALISTENIA\Puxada escapular na barra fixa.gif;media\exercicios\GIFS CALISTENIA\Puxada Front Lever.gif;media\exercicios\GIFS CALISTENIA\Puxada isométrica.gif
882,Agachamento,Agachamento Com Salto Usando Barra,media\exercicios\GIFS CALISTENIA\Agachamento Pistol com TRX.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola Apoiado.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola com Kettlebell.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola na Caixa.gif;media\exercicios\GIFS CALISTENIA\Agachamento Sissy ajoelhado com Peso Corporal.gif
883,Outros,Flexão De Pernas Na Bola,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Flexão de Pernas na Bola de Estabilidade.gif;media\exercicios\GIFS ACADEMIA\PERNAS\Flexão de Pernas na Bola de Estabilidade.gif
891,Outros,Avanço Invertido,media\exercicios\GIFS ACADEMIA\PERNAS\Avanço Invertido com Halteres.gif
892,Agachamento,Agachamento Goblet,media\exercicios\GIFS CALISTENIA\Agachamento Pistol com TRX.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola Apoiado.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola com Kettlebell.gif;media\exercicios\GIFS CALISTENIA\Agachamento Pistola na Caixa.gif;media\exercicios\GIFS CALISTENIA\Agachamento Sissy ajoelhado com Peso Corporal.gif
895,Outros,Elevação De Perna Em Pé,media\exercicios\GIFS ACADEMIA\PERNAS\Elevação de Perna em Pé com Alavanca.gif
897,Outros,Elevação De Joelho,media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos com Puxada de Pernas.gif;media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos na Barra Fixa.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Subida no Step com Elevação de Joelhos.gif;media\exercicios\GIFS ACADEMIA\PERNAS\Elevação de Joelho com Halteres.gif;media\exercicios\GIFS ACADEMIA\PERNAS\Subida no Step com Elevação de Joelhos.gif
899,Outros,Stiff Unilateral,media\exercicios\GIFS ACADEMIA\PERNAS\Stiff Unilateral com Barra.gif;media\exercicios\GIFS ACADEMIA\PERNAS\Stiff Unilateral com Halteres.gif
