id,variacao_nome,exercicio,cloudinary_atual,status,arquivo_gif,score,observacao
855,Crossover De Peitoral Superior Com Cabo,Cross Over,,MATCH,PEITORAL/Crossover de peitoral superior com cabo.gif,1.0000,
856,Cross Over Polia Alta,Cross Over,,MATCH,PEITORAL/Cross over polia Alta.gif,1.0000,
857,Supino Declinado,Supino,,SEM_MATCH,,,
858,Supino Unilateral Com Halteres Com Pegada,Supino,,SEM_MATCH,,,
859,Supino Inclinado Com Pegada,Supino,,SEM_MATCH,,,
860,Puxada Alta Com Um Joelho,Puxada,,SEM_MATCH,,,
861,Pullover Com Cabo,Outros,,MATCH,COSTAS/Pullover com Cabo.gif,1.0000,
862,Puxada Alta Na Polia Nuca,Puxada,,MATCH,COSTAS/Puxada alta na polia nuca.gif,1.0000,
863,Remada Unilateral Com Barra,Remada,,MATCH,COSTAS/Remada Unilateral com Barra.gif,1.0000,
864,Remada T Invertida,Remada,,MATCH,COSTAS/Remada Invertida.gif,0.9412,
865,Pullover Na Máquina,Outros,,SEM_MATCH,,,
866,Pullover Com Barra,Outros,,MATCH,COSTAS/Pullover com Barra.gif,1.0000,
867,Remada,Remada,,SEM_MATCH,,,
868,Levantamento Terra,Outros,,MATCH,COSTAS/Levantamento Terra.gif,1.0000,
869,Puxada Em Pé Com Torção No Cabo,Puxada,,MATCH,COSTAS/Puxada em Pé com Torção no Cabo.gif,1.0000,
870,Puxada Alta Neutra Com Cabos Duplos No Chão,Puxada,,MATCH,COSTAS/Puxada Alta Neutra com Cabos Duplos no Chão.gif,1.0000,
871,Remada T,Remada,,SEM_MATCH,,,
872,Pullover Com Barra W Pegada,Outros,,SEM_MATCH,,,
873,Pull Up,Outros,,MATCH,COSTAS/Pull Up.gif,1.0000,
874,Puxada Alta Na Máquina Nuca,Puxada,,MATCH,COSTAS/Puxada alta na Máquina Nuca.gif,1.0000,
875,Pulldown Inclinado Com Corda,Outros,,MATCH,COSTAS/Pulldown inclinado com corda.gif,1.0000,
876,Remada Sentada Com Corda Na Polia,Remada,,MATCH,COSTAS/Remada Sentada com Corda na Polia.gif,1.0000,
877,Máquina De Remo,Outros,,MATCH,COSTAS/Máquina de remo.gif,1.0000,
878,Puxada Na Polia Alta Com Pegada,Puxada,,SEM_MATCH,,,
879,Remada Unilateral Com Cabo,Remada,,MATCH,COSTAS/Remada Unilateral com Cabo.gif,1.0000,
880,Pullover Com Barra No Banco,Outros,,SEM_MATCH,,,
881,Puxada Alta Unilateral Alta,Puxada,,SEM_MATCH,,,
882,Agachamento Com Salto Usando Barra,Agachamento,,SEM_MATCH,,,
883,Flexão De Pernas Na Bola,Outros,,SEM_MATCH,,,
884,Stiff Unilateral Com Barra,Outros,,MATCH,PERNAS/Stiff Unilateral com Barra.gif,1.0000,
885,Ponte De Glúteos Com Barra,Glúteo,,MATCH,PERNAS/Ponte de Glúteos com Barra.gif,1.0000,
886,Agachamento Com Cinto,Agachamento,,MATCH,PERNAS/Agachamento com Cinto.gif,1.0000,
887,Agachamento Frontal,Agachamento,,MATCH,PERNAS/Agachamento Frontal.gif,1.0000,
888,Descida De Um Pé Só,Outros,,MATCH,PERNAS/Descida de um Pé Só.gif,1.0000,
889,Peso Muerto Piernas Rígidas Con Barra,Outros,,MATCH,PERNAS/Peso muerto piernas rígidas con barra.gif,1.0000,
890,Agachamento Frontal Com Cabo,Agachamento,,MATCH,PERNAS/Agachamento Frontal com Cabo.gif,1.0000,
