id,exercicio,variacao,score,gif_origem,gif_name
1048,Rosca,Rosca Direta Com Cabo,87.27,1046,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490621/exercicios/gif/variacao-1046.gif
1053,Rosca,Rosca Bíceps Alta,87.8,832,Rosca_bíceps_com_halteres.gif
1061,Glúteo,Glúteo Coice Na Máquina De Extensão,89.36,1558,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491066/exercicios/gif/variacao-1558.gif
1062,Outros,Extensão De Perna Na Máquina Smith,91.11,1559,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491067/exercicios/gif/variacao-1559.gif
1063,Outros,Elevação Pélvica Na Máquina De Extensão,90.2,1560,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491068/exercicios/gif/variacao-1560.gif
1064,Agachamento,Agachamento Na Máquina,88.31,1561,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491069/exercicios/gif/variacao-1561.gif
1066,Outros,Abdução Lateral Do Quadril,85.33,1622,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491147/exercicios/gif/variacao-1622.gif
1079,Outros,Torção Com Cabo,88.0,1091,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490653/exercicios/gif/variacao-1091.gif
1080,Outros,Toques Nos Dedos Com O Corpo,89.74,1572,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491083/exercicios/gif/variacao-1572.gif
1088,Prancha,Prancha Com Movimento,85.29,1577,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491089/exercicios/gif/variacao-1577.gif
1090,Outros,Torção Com Barra,85.19,1578,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491090/exercicios/gif/variacao-1578.gif
1094,Prancha,Prancha De Frente Para A Prancha,90.91,1580,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491093/exercicios/gif/variacao-1580.gif
1095,Outros,Máquina De Torção,86.96,877,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490503/exercicios/gif/variacao-877.gif
1162,Abdominal,Abdominal Com Elevação,86.67,1160,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490696/exercicios/gif/variacao-1160.gif
1098,Prancha,Prancha Com Abertura De Pernas - Perna,88.0,1583,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491096/exercicios/gif/variacao-1583.gif
1102,Prancha,Prancha Lateral Com Flexão,86.08,1586,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491100/exercicios/gif/variacao-1586.gif
1107,Outros,Levantamento De Quadril Com Pernas Elevadas Em Banco,92.19,1590,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491104/exercicios/gif/variacao-1590.gif
1111,Abdominal,Máquina De Abdominal,89.23,1594,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491109/exercicios/gif/variacao-1594.gif
1113,Outros,Inclinação Lateral Em Pé,89.29,1125,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490675/exercicios/gif/variacao-1125.gif
1116,Outros,Máquina De Abdominais,87.5,1593,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491108/exercicios/gif/variacao-1593.gif
1117,Abdominal,Máquina Abdominal,87.1,1594,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491109/exercicios/gif/variacao-1594.gif
1122,Abdominal,Exercício De Vácuo Abdominal Em Quatro,93.2,1598,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491113/exercicios/gif/variacao-1598.gif
1124,Abdominal,Abdominal Infra No Solo Com Flexão,89.8,1600,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491115/exercicios/gif/variacao-1600.gif
1129,Puxada,Elevação De Joelhos Com Puxada,88.1,1604,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491120/exercicios/gif/variacao-1604.gif
1134,Abdominal,Abdominal,92.68,1157,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490694/exercicios/gif/variacao-1157.gif
1137,Outros,Giro Com Barra Na Máquina,87.67,1610,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491129/exercicios/gif/variacao-1610.gif
1142,Outros,Arremesso Com Torção Russa Da Bola,86.32,1613,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491136/exercicios/gif/variacao-1613.gif
1148,Abdominal,Abdominal Lateral No Banco,87.8,1616,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491140/exercicios/gif/variacao-1616.gif
1153,Abdominal,Abdominal Com Rolo,89.29,1160,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490696/exercicios/gif/variacao-1160.gif
1155,Outros,Abdução De Quadril No Apoio,89.47,1622,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491147/exercicios/gif/variacao-1622.gif
1156,Abdominal,Abdominal Com Giro,89.29,1160,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490696/exercicios/gif/variacao-1160.gif
1158,Outros,Elevação De Perna,97.96,1617,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491141/exercicios/gif/variacao-1617.gif
1168,Outros,Levantamento De Braço Apoiado,87.8,1633,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491160/exercicios/gif/variacao-1633.gif
1172,Outros,Postura Da Virilha,86.21,1634,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491162/exercicios/gif/variacao-1634.gif
1175,Outros,Exercício De Bailarina,87.88,1637,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491165/exercicios/gif/variacao-1637.gif
1186,Outros,Rotação Espinhal,85.19,1639,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491167/exercicios/gif/variacao-1639.gif
1188,Outros,Alongamento Do Peito E Parte Frontal Dos,93.07,1640,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491168/exercicios/gif/variacao-1640.gif
1189,Outros,Toque Nos Dedos Dos Pés,90.91,1198,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490726/exercicios/gif/variacao-1198.gif
