id,exercicio,variacao,score,gif_origem,gif_name
1193,Outros,Exercício De Retração Escapular,90.48,1643,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491171/exercicios/gif/variacao-1643.gif
1196,Outros,Rotação Externa Do Ombro Deitado,88.57,1205,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490728/exercicios/gif/variacao-1205.gif
1199,Outros,Rotação Do Corpo Superior,88.89,1646,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491174/exercicios/gif/variacao-1646.gif
1201,Outros,Rotação Da Coluna Torácica,85.71,1647,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491176/exercicios/gif/variacao-1647.gif
1203,Elevação Lateral,Elevação Lateral De Deltóide Posterior,89.43,1649,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491179/exercicios/gif/variacao-1649.gif
1204,Outros,Rotação Externa Com Cabo Em Posição,88.42,1650,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491180/exercicios/gif/variacao-1650.gif
1206,Outros,Quadrúpede Com Elevação De Braço E Perna,87.04,1651,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491181/exercicios/gif/variacao-1651.gif
1208,Outros,Rolo De Espuma Para Ombro E Peito,90.91,1652,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491182/exercicios/gif/variacao-1652.gif
1210,Outros,Rolo De Espuma Para Fascite,89.47,1654,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491184/exercicios/gif/variacao-1654.gif
1213,Outros,Alongamento Em Círculos Nos,90.67,1657,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491188/exercicios/gif/variacao-1657.gif
1217,Outros,Alongamento Dos Ombros Por Trás Das,92.31,1658,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491189/exercicios/gif/variacao-1658.gif
1220,Panturrilha,Alongamento Sentado Para A Panturrilha Com Perna,93.02,1659,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491190/exercicios/gif/variacao-1659.gif
1226,Outros,Alongamento Dos Flexores Do Quadril Em Posição,91.38,1661,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491194/exercicios/gif/variacao-1661.gif
1227,Outros,Alongamento Do Peitoral Até As,91.36,1662,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491195/exercicios/gif/variacao-1662.gif
1228,Outros,Alongamento Dos Flexores De Quadril,89.36,1663,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491196/exercicios/gif/variacao-1663.gif
1232,Outros,Alongamento Dos Adutores,88.57,1665,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491198/exercicios/gif/variacao-1665.gif
1234,Outros,Alongamento Dos Adutores Em Posição Sentada Com Pernas,93.85,1667,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491201/exercicios/gif/variacao-1667.gif
1235,Outros,Rotação De Pé E,90.48,1223,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490740/exercicios/gif/variacao-1223.gif
1236,Outros,Deslize De Parede Do Serrátil Com Rolo,90.0,1669,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491204/exercicios/gif/variacao-1669.gif
1238,Outros,Alongamento Do Trato Iliotibial Com Rolo,90.38,1670,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491205/exercicios/gif/variacao-1670.gif
1240,Outros,Alongamento Do Manguito,88.24,1671,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491206/exercicios/gif/variacao-1671.gif
1243,Outros,Rolamento De Espuma Nos,86.57,1678,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491214/exercicios/gif/variacao-1678.gif
1244,Outros,Alongamento Do Peito Com Rolo,87.8,1673,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491208/exercicios/gif/variacao-1673.gif
1246,Outros,Alongamento Dos Isquiotibiais,90.0,1674,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491209/exercicios/gif/variacao-1674.gif
1249,Outros,Alongamento Dos Adutores Da Coxa Com Rolo,90.57,1676,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491212/exercicios/gif/variacao-1676.gif
1250,Outros,Alongamento De Quadríceps Em Quatro,92.31,1677,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491213/exercicios/gif/variacao-1677.gif
1251,Outros,Rolamento De Espuma Nas,89.55,1678,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491214/exercicios/gif/variacao-1678.gif
1254,Outros,Alongamento Dos Adutores Com A Perna Estendida,91.38,1679,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491216/exercicios/gif/variacao-1679.gif
1261,Outros,Alongamento Dos Isquiotibiais Em Pé,96.39,1280,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490769/exercicios/gif/variacao-1280.gif
1262,Outros,Alongamento Do Piriforme,94.92,1660,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491193/exercicios/gif/variacao-1660.gif
1263,Outros,Alongamento Do Gastrocnêmio Com Joelho,89.11,1682,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491219/exercicios/gif/variacao-1682.gif
