id,exercicio,variacao,score,gif_sugerido
1040,Panturrilha,Levantamento De Panturrilha,71.91011235955057,media\exercicios\GIFS ACADEMIA\PANTURRILHAS\Levantamento de panturrilha com apoio de uma perna.gif
1041,Rosca,Rosca Concentrada Com Pegada Fechada,90.69767441860466,media\exercicios\GIFS ACADEMIA\BÍCEPS\Rosca Concentrada com Pegada Fechada Sentado.gif
1043,Rosca,Máquina De Rosca,71.11111111111111,media\exercicios\GIFS ACADEMIA\BÍCEPS\Máquina de rosca direta.gif
1045,Rosca,Rosca Inversa,63.63636363636363,media\exercicios\GIFS ACADEMIA\BÍCEPS\Rosca inversa com barra W.gif
1048,Rosca,Rosca Direta Com Cabo,78.57142857142857,media\exercicios\GIFS ACADEMIA\BÍCEPS\Rosca Direta com Cabo deitado.gif
1053,Rosca,Rosca Bíceps Alta,75.47169811320755,media\exercicios\GIFS ACADEMIA\BÍCEPS\Rosca bíceps alta com halteres.gif
1056,Outros,Extensão De Quadril Em Pé,71.42857142857143,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Extensão de Quadril em Pé com Alavanca.gif
1058,Outros,Quatro,76.92307692307692,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Quatro Apoios.gif
1060,Outros,Ponte,66.66666666666667,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Ponte com Halteres.gif
1061,Glúteo,Glúteo Coice Na Máquina De Extensão,80.45977011494253,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Glúteo Coice Na Máquina De Extensão De Pernas.gif
1062,Outros,Extensão De Perna Na Máquina Smith,81.92771084337349,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Extensão de Perna na Máquina Smith Reversa.gif
1063,Outros,Elevação Pélvica Na Máquina De Extensão,88.42105263157895,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Elevação Pélvica na Máquina de Extensão de Pernas.gif
1064,Agachamento,Agachamento Na Máquina,80.0,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Agachamento na Máquina Abdutora.gif
1066,Outros,Abdução Lateral Do Quadril,79.41176470588236,media\exercicios\GIFS ABDOMINAIS\Abdução de quadril no apoio lateral.gif
1067,Puxada,Puxada De Cabo,65.38461538461539,media\exercicios\GIFS ACADEMIA\TRAPÉZIO\Puxada de face com cabo cruzado.gif
1069,Glúteo,Glúteo Coice,70.0,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Glúteo Coice No Smith.gif
1071,Outros,Crunch En Banco,68.08510638297872,media\exercicios\GIFS ABDOMINAIS\Crunch en banco declinado.gif
1072,Outros,V-Up Com Bola,63.41463414634146,media\exercicios\GIFS MOBILIDADE ALONGAMENTO LIBERAÇÃO\Rolando como uma Bola.gif
1077,Outros,Torção Com Tronco,74.50980392156863,media\exercicios\GIFS ABDOMINAIS\Torção com Tronco Inclinado.gif
1079,Outros,Torção Com Cabo,80.0,media\exercicios\GIFS ABDOMINAIS\Torção com Cabo Sentado.gif
1080,Outros,Toques Nos Dedos Com O Corpo,78.87323943661973,media\exercicios\GIFS ABDOMINAIS\Toques nos Dedos com o Corpo deitado.gif
1083,Outros,Tesoura,70.96774193548387,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Tesoura de Braços.gif
